Epsilon Discount LearningLength TestLength L1Factor NumberOfFeatures MeanDataLikelihood MeanReward
0.1 0.9 33 1000 0 164 0.999782 0.003
0.1 0.9 33 1000 0.00125 46 0.999439 0.002
0.1 0.9 33 1000 0.0015625 46 0.999599 0.001
0.1 0.9 33 1000 0.00195312 45 0.999482 0
0.1 0.9 33 1000 0.00244141 44 0.999561 0.001
0.1 0.9 33 1000 0.00305176 43 0.999549 0.013
0.1 0.9 33 1000 0.0038147 43 0.999311 0.002
0.1 0.9 33 1000 0.00476837 42 0.999513 0
0.1 0.9 33 1000 0.00596046 38 0.99939 0.002
0.1 0.9 33 1000 0.00745058 36 0.999611 0.002
0.1 0.9 33 1000 0.00931323 35 0.999576 0
0.1 0.9 33 1000 0.0116415 35 0.999468 0
0.1 0.9 33 1000 0.0145519 30 0.999063 0.01
0.1 0.9 33 1000 0.0181899 28 0.998932 0.008
0.1 0.9 33 1000 0.0227374 24 0.872646 0.001
0.1 0.9 33 1000 0.0284217 23 0.872707 0.012
0.1 0.9 33 1000 0.0355271 19 0.726939 0.005
0.1 0.9 33 1000 0.0444089 17 0.668081 0
0.1 0.9 41 1000 0 176 0.999526 0.007
0.1 0.9 41 1000 0.00125 64 0.999319 0.005
0.1 0.9 41 1000 0.0015625 60 0.998949 0.04
0.1 0.9 41 1000 0.00195312 59 0.998829 0.038
0.1 0.9 41 1000 0.00244141 55 0.999213 0.008
0.1 0.9 41 1000 0.00305176 53 0.999044 0.003
0.1 0.9 41 1000 0.0038147 53 0.999715 0.007
0.1 0.9 41 1000 0.00476837 50 0.999356 0.113
0.1 0.9 41 1000 0.00596046 49 0.999278 0.013
0.1 0.9 41 1000 0.00745058 49 0.999462 0.006
0.1 0.9 41 1000 0.00931323 44 0.998798 0.103
0.1 0.9 41 1000 0.0116415 39 0.999472 0.024
0.1 0.9 41 1000 0.0145519 35 0.966287 0.022
0.1 0.9 41 1000 0.0181899 33 0.966607 0.027
0.1 0.9 41 1000 0.0227374 32 0.876352 0
0.1 0.9 41 1000 0.0284217 25 0.805706 0.02
0.1 0.9 41 1000 0.0355271 22 0.747755 0
0.1 0.9 41 1000 0.0444089 15 0.577271 0.001
0.1 0.9 51 1000 0 176 0.999734 0
0.1 0.9 51 1000 0.00125 60 0.999165 0
0.1 0.9 51 1000 0.0015625 58 0.999529 0
0.1 0.9 51 1000 0.00195312 56 0.99935 0.002
0.1 0.9 51 1000 0.00244141 56 0.999144 0.001
0.1 0.9 51 1000 0.00305176 55 0.999147 0
0.1 0.9 51 1000 0.0038147 54 0.998945 0.001
0.1 0.9 51 1000 0.00476837 53 0.999293 0
0.1 0.9 51 1000 0.00596046 52 0.99909 0
0.1 0.9 51 1000 0.00745058 49 0.999142 0
0.1 0.9 51 1000 0.00931323 44 0.998504 0.009
0.1 0.9 51 1000 0.0116415 39 0.9991 0
0.1 0.9 51 1000 0.0145519 34 0.999233 0.001
0.1 0.9 51 1000 0.0181899 24 0.83924 0.002
0.1 0.9 51 1000 0.0227374 23 0.811649 0.002
0.1 0.9 51 1000 0.0284217 22 0.811607 0.007
0.1 0.9 51 1000 0.0355271 21 0.802801 0.013
0.1 0.9 51 1000 0.0444089 17 0.740262 0
0.1 0.9 63 1000 0 164 0.999774 0.005
0.1 0.9 63 1000 0.00125 52 0.999093 0
0.1 0.9 63 1000 0.0015625 51 0.999434 0.001
0.1 0.9 63 1000 0.00195312 50 0.999349 0
0.1 0.9 63 1000 0.00244141 47 0.999273 0.011
0.1 0.9 63 1000 0.00305176 46 0.999128 0.001
0.1 0.9 63 1000 0.0038147 43 0.999106 0.014
0.1 0.9 63 1000 0.00476837 42 0.999026 0.005
0.1 0.9 63 1000 0.00596046 42 0.99886 0.026
0.1 0.9 63 1000 0.00745058 42 0.999244 0
0.1 0.9 63 1000 0.00931323 41 0.998926 0.008
0.1 0.9 63 1000 0.0116415 40 0.999191 0.019
0.1 0.9 63 1000 0.0145519 37 0.998971 0.007
0.1 0.9 63 1000 0.0181899 35 0.999302 0.001
0.1 0.9 63 1000 0.0227374 30 0.997763 0.004
0.1 0.9 63 1000 0.0284217 25 0.771814 0.012
0.1 0.9 63 1000 0.0355271 21 0.717475 0.002
0.1 0.9 63 1000 0.0444089 17 0.567434 0.014
0.1 0.9 78 1000 0 176 0.881502 0.102
0.1 0.9 78 1000 0.00125 72 0.881395 0.138
0.1 0.9 78 1000 0.0015625 71 0.880929 0.095
0.1 0.9 78 1000 0.00195312 65 0.878805 0.084
0.1 0.9 78 1000 0.00244141 62 0.876916 0.119
0.1 0.9 78 1000 0.00305176 61 0.872492 0.141
0.1 0.9 78 1000 0.0038147 58 0.872341 0.204
0.1 0.9 78 1000 0.00476837 58 0.872453 0.17
0.1 0.9 78 1000 0.00596046 55 0.872495 0.157
0.1 0.9 78 1000 0.00745058 48 0.857005 0.003
0.1 0.9 78 1000 0.00931323 40 0.837059 0.004
0.1 0.9 78 1000 0.0116415 37 0.815677 0.002
0.1 0.9 78 1000 0.0145519 32 0.796323 0
0.1 0.9 78 1000 0.0181899 28 0.782986 0.001
0.1 0.9 78 1000 0.0227374 26 0.768325 0.001
0.1 0.9 78 1000 0.0284217 21 0.690633 0
0.1 0.9 78 1000 0.0355271 19 0.654021 0
0.1 0.9 78 1000 0.0444089 11 0.43542 0
0.1 0.9 97 1000 0 176 0.96654 0.175
0.1 0.9 97 1000 0.00125 66 0.96638 0.199
0.1 0.9 97 1000 0.0015625 60 0.96633 0.211
0.1 0.9 97 1000 0.00195312 60 0.966252 0.194
0.1 0.9 97 1000 0.00244141 57 0.966332 0.202
0.1 0.9 97 1000 0.00305176 52 0.96618 0.214
0.1 0.9 97 1000 0.0038147 49 0.966021 0.189
0.1 0.9 97 1000 0.00476837 49 0.966303 0.015
0.1 0.9 97 1000 0.00596046 45 0.966326 0.21
0.1 0.9 97 1000 0.00745058 43 0.952646 0.006
0.1 0.9 97 1000 0.00931323 36 0.952472 0.218
0.1 0.9 97 1000 0.0116415 35 0.944005 0.22
0.1 0.9 97 1000 0.0145519 29 0.84783 0
0.1 0.9 97 1000 0.0181899 28 0.833786 0.021
0.1 0.9 97 1000 0.0227374 24 0.803247 0.003
0.1 0.9 97 1000 0.0284217 23 0.791861 0.015
0.1 0.9 97 1000 0.0355271 20 0.722869 0.011
0.1 0.9 97 1000 0.0444089 13 0.466296 0.004
0.1 0.9 121 1000 0 176 0.987781 0.175
0.1 0.9 121 1000 0.00125 85 0.987267 0.007
0.1 0.9 121 1000 0.0015625 76 0.987222 0.012
0.1 0.9 121 1000 0.00195312 68 0.987027 0.208
0.1 0.9 121 1000 0.00244141 67 0.987033 0.196
0.1 0.9 121 1000 0.00305176 65 0.987555 0.211
0.1 0.9 121 1000 0.0038147 65 0.986556 0.177
0.1 0.9 121 1000 0.00476837 61 0.975922 0.196
0.1 0.9 121 1000 0.00596046 56 0.961115 0.207
0.1 0.9 121 1000 0.00745058 53 0.960682 0.176
0.1 0.9 121 1000 0.00931323 48 0.881511 0.18
0.1 0.9 121 1000 0.0116415 45 0.847235 0.176
0.1 0.9 121 1000 0.0145519 41 0.803428 0.213
0.1 0.9 121 1000 0.0181899 40 0.790446 0.22
0.1 0.9 121 1000 0.0227374 35 0.737311 0.211
0.1 0.9 121 1000 0.0284217 26 0.564532 0.001
0.1 0.9 121 1000 0.0355271 19 0.509674 0.001
0.1 0.9 121 1000 0.0444089 15 0.416562 0.001
0.1 0.9 151 1000 0 176 0.880535 0.209
0.1 0.9 151 1000 0.00125 72 0.86822 0.192
0.1 0.9 151 1000 0.0015625 69 0.86675 0.205
0.1 0.9 151 1000 0.00195312 68 0.867366 0.183
0.1 0.9 151 1000 0.00244141 65 0.859092 0.2
0.1 0.9 151 1000 0.00305176 61 0.85388 0.21
0.1 0.9 151 1000 0.0038147 55 0.849558 0.211
0.1 0.9 151 1000 0.00476837 42 0.816743 0.001
0.1 0.9 151 1000 0.00596046 34 0.783069 0
0.1 0.9 151 1000 0.00745058 31 0.768203 0.002
0.1 0.9 151 1000 0.00931323 29 0.765075 0.002
0.1 0.9 151 1000 0.0116415 29 0.765069 0.001
0.1 0.9 151 1000 0.0145519 28 0.764444 0.007
0.1 0.9 151 1000 0.0181899 28 0.764448 0
0.1 0.9 151 1000 0.0227374 25 0.744868 0
0.1 0.9 151 1000 0.0284217 24 0.735138 0.001
