# Switches:
# -mode              = UTREE_VALUE
# -sample            = UNIFORM
# -nEp               = 1000
# -minTran           = 10
# -maxTran           = 12
# -e                 = 0
# -d                 = 0.5
# -minTrain          = 10
# -maxTrain          = 100
# -minTree           = 1000
# -maxTree           = 10000
# -f                 = 2
# -l1                = 0.0002
# -pruneTree         = 1
# -kWidth            = 0
# -incr              = 10
# -exp               = 0
# -printSamples      = 0
# -optTran           = 0
# -fincr             = 0
# -dl                = 0.001
# -tderr             = 0.0001
# -l1incr            = 0.0001
# -maxl1             = 0.001
# 
# Maze size: 2x2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# 
# 
# 
# 
# Episode	training_length	transition_length	episode_mean_reward
# 
294	40	12	0
287	70	12	0.0833333
291	10	12	0
286	60	12	0.25
297	70	12	0
301	10	12	0
302	20	12	0
303	30	12	0
296	60	12	0.166667
295	50	12	0.25
289	90	12	0.25
307	70	12	0
308	80	12	0
305	50	12	0.166667
304	40	12	0.166667
300	100	12	0.25
306	60	12	0
311	10	12	0.0833333
312	20	12	0.0833333
313	30	12	0
315	50	12	0
316	60	12	0.0833333
298	80	12	0.0833333
317	70	12	0
280	100	12	0
299	90	12	0
321	10	12	0
323	30	12	0
322	20	12	0
325	50	12	0
326	60	12	0
314	40	12	0.166667
324	40	12	0.25
329	90	12	0
310	100	12	0.25
320	100	12	0.0833333
327	70	12	0.166667
332	20	12	0
333	30	12	0
334	40	12	0
309	90	12	0
335	50	12	0
331	10	12	0
319	90	12	0.25
328	80	12	0
341	10	12	0
338	80	12	0
342	20	12	0
318	80	12	0.0833333
343	30	12	0
339	90	12	0
345	50	12	0
340	100	12	0.0833333
336	60	12	0.166667
330	100	12	0.25
351	10	12	0.0833333
352	20	12	0
353	30	12	0.0833333
344	40	12	0.0833333
348	80	12	0
356	60	12	0
355	50	12	0.0833333
349	90	12	0
337	70	12	0.25
357	70	12	0
358	80	12	0
361	10	12	0
362	20	12	0
363	30	12	0
359	90	12	0.0833333
347	70	12	0.166667
354	40	12	0
346	60	12	0
369	90	12	0
364	40	12	0.25
371	10	12	0
350	100	12	0
373	30	12	0
374	40	12	0
372	20	12	0
366	60	12	0
367	70	12	0.25
365	50	12	0.25
368	80	12	0.25
360	100	12	0
381	10	12	0
376	60	12	0
382	20	12	0
384	40	12	0.0833333
375	50	12	0.0833333
383	30	12	0.0833333
387	70	12	0.0833333
385	50	12	0
378	80	12	0.0833333
377	70	12	0.25
391	10	12	0
392	20	12	0
393	30	12	0
394	40	12	0
379	90	12	0.25
395	50	12	0
370	100	12	0.0833333
396	60	12	0.0833333
386	60	12	0.25
388	80	12	0
401	10	12	0
402	20	12	0.0833333
397	70	12	0
390	100	12	0.25
403	30	12	0
404	40	12	0
398	80	12	0.25
389	90	12	0.166667
380	100	12	0
405	50	12	0
411	10	12	0
412	20	12	0
413	30	12	0
407	70	12	0
415	50	12	0
399	90	12	0.25
400	100	12	0.25
414	40	12	0
406	60	12	0.25
417	70	12	0
421	10	12	0
422	20	12	0
423	30	12	0
424	40	12	0
408	80	12	0
416	60	12	0.0833333
427	70	12	0
425	50	12	0.0833333
410	100	12	0.0833333
409	90	12	0.166667
426	60	12	0
418	80	12	0.25
432	20	12	0
420	100	12	0.25
434	40	12	0
435	50	12	0
431	10	12	0
433	30	12	0
438	80	12	0
419	90	12	0
441	10	12	0
442	20	12	0
443	30	12	0
444	40	12	0.0833333
445	50	12	0
429	90	12	0.25
447	70	12	0
436	60	12	0.25
437	70	12	0
448	80	12	0
451	10	12	0
450	100	12	0
452	20	12	0.0833333
453	30	12	0
454	40	12	0
455	50	12	0
430	100	12	0.25
428	80	12	0.25
440	100	12	0.25
446	60	12	0.0833333
461	10	12	0
449	90	12	0
463	30	12	0
462	20	12	0
456	60	12	0.25
457	70	12	0.25
464	40	12	0
459	90	12	0
465	50	12	0
439	90	12	0.0833333
471	10	12	0
458	80	12	0
466	60	12	0
473	30	12	0
475	50	12	0
472	20	12	0
467	70	12	0.25
460	100	12	0.25
474	40	12	0.25
478	80	12	0
477	70	12	0.0833333
482	20	12	0
481	10	12	0
469	90	12	0.25
468	80	12	0.25
483	30	12	0
485	50	12	0
487	70	12	0.0833333
484	40	12	0
480	100	12	0.0833333
491	10	12	0
476	60	12	0.166667
493	30	12	0.0833333
492	20	12	0
470	100	12	0.25
494	40	12	0.0833333
479	90	12	0.25
486	60	12	0.25
490	100	12	0.0833333
495	50	12	0
500	100	12	0.0833333
501	10	12	0
503	30	12	0
502	20	12	0
505	50	12	0
496	60	12	0
488	80	12	0.0833333
489	90	12	0.25
497	70	12	0
504	40	12	0
506	60	12	0
511	10	12	0
512	20	12	0
499	90	12	0
513	30	12	0
514	40	12	0
515	50	12	0.0833333
518	80	12	0
507	70	12	0.25
517	70	12	0
521	10	12	0
498	80	12	0
522	20	12	0
516	60	12	0
523	30	12	0
509	90	12	0.0833333
510	100	12	0.0833333
524	40	12	0.25
519	90	12	0
530	100	12	0.0833333
508	80	12	0.25
532	20	12	0
520	100	12	0.0833333
533	30	12	0
525	50	12	0.166667
526	60	12	0.25
531	10	12	0
534	40	12	0
536	60	12	0
527	70	12	0.166667
541	10	12	0.0833333
542	20	12	0
535	50	12	0.0833333
543	30	12	0
544	40	12	0.0833333
539	90	12	0.0833333
540	100	12	0
545	50	12	0
