# Maze size:               2x2
# strategy               = sparse
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 10
# max training length    = 250
# training length factor = 1.1
# training length incr.  = 5
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
12 	10	60	0	0
3 	10	62	0	0
7 	10	72	0	0
9 	10	80	0	0
28 	10	2	0	0.016
2 	10	83	0	0
6 	10	122	0	0
22 	10	91	0	0
1 	10	102	0	0
21 	10	102	0	0
13 	10	103	0	0
24 	10	102	0	0
14 	10	107	0	0
18 	10	107	0	0.143
20 	10	108	0	0
5 	10	108	0	0
8 	10	111	0	0
4 	10	112	0	0.001
16 	10	112	0	0
17 	10	118	0	0
19 	10	121	0	0
23 	10	120	0	0
11 	10	133	0	0.001
29 	10	56	0	0
10 	10	139	0	0.001
30 	10	63	0	0
26 	10	90	0	0
25 	10	106	0	0
15 	10	170	0	0
44 	10	57	0	0
40 	10	68	0	0
27 	10	106	0	0
31 	10	108	0	0.082
41 	10	88	0	0
33 	10	102	0	0
46 	10	90	0	0
34 	10	113	0	0
39 	10	116	0	0
50 	10	81	0	0
42 	10	118	0	0
55 	10	54	0	0
36 	10	128	0	0
32 	10	143	0	0.001
43 	10	131	0	0
48 	10	110	0	0
37 	10	141	0	0
35 	10	143	0	0
38 	10	145	0	0
47 	10	120	0	0
45 	10	140	0	0
52 	10	102	0	0
53 	10	102	0	0
49 	10	138	0	0
59 	10	78	0	0.003
57 	10	90	0	0
54 	10	128	0	0
71 	10	52	0	0
60 	10	98	0	0
74 	10	54	0	0
51 	10	164	0	0
63 	10	88	0	0
56 	10	138	0	0
62 	10	100	0	0
61 	10	107	0	0
58 	10	123	0	0
72 	10	81	0	0
64 	10	110	0	0
67 	10	111	0	0
69 	10	112	0	0
79 	10	72	0	0.003
76 	10	93	0	0
77 	10	89	0	0
70 	10	119	0	0
73 	10	119	0	0
66 	10	138	0	0
65 	10	141	0	0
78 	10	101	0	0
91 	10	52	0	0
68 	10	145	0	0
92 	10	47	0	0
80 	10	97	0	0
87 	10	143	0	0.001
86 	10	85	0	0
75 	10	145	0	0
82 	10	103	0	0
97 	10	54	0	0
89 	10	102	0	0
81 	10	131	0	0.1
90 	10	106	0	0
85 	10	124	0	0
88 	10	112	0	0
84 	10	130	0	0
5 	16	58	0	0
96 	10	88	0	0
83 	10	142	0	0
98 	10	90	0	0
95 	10	105	0	0
4 	16	82	0	0
100 	10	98	0	0
3 	16	88	0	0
93 	10	115	0	0
1 	16	94	0	0
6 	16	85	0	0.143
99 	10	111	0	0
15 	16	59	0	0
94 	10	133	0	0
2 	16	116	0	0
27 	16	55	0	0
8 	16	124	0	0
14 	16	102	0	0
7 	16	142	0	0
16 	16	106	0	0.067
11 	16	124	0	0
12 	16	129	0	0
21 	16	120	0	0
13 	16	151	0	0.001
9 	16	169	0	0
18 	16	137	0	0
34 	16	56	0	0
10 	16	175	0	0
20 	16	139	0	0
19 	16	148	0	0
25 	16	132	0	0
23 	16	146	0	0
22 	16	150	0	0
17 	16	170	0	0.001
35 	16	89	0	0
26 	16	157	0	0
24 	16	163	0	0
30 	16	146	0	0
42 	16	52	0	0
28 	16	169	0	0
45 	16	58	0	0
29 	16	174	0	0.001
31 	16	169	0	0
38 	16	130	0	0
33 	16	158	0	0
40 	16	108	0	0
32 	16	164	0	0
43 	16	108	0	0.001
36 	16	158	0	0
50 	16	96	0	0.001
37 	16	169	0	0
53 	16	88	0	0
59 	16	56	0	0
48 	16	121	0	0
39 	16	151	0	0.111
46 	16	137	0	0
49 	16	126	0	0
44 	16	162	0	0
41 	16	169	0	0
47 	16	170	0	0
54 	16	156	0	0
51 	16	170	0	0
55 	16	165	0	0.1
65 	16	105	0	0
52 	16	175	0	0.001
60 	16	127	0	0
64 	16	173	0	0.001
58 	16	148	0	0
66 	16	107	0	0
72 	16	86	0	0
56 	16	173	0	0
57 	16	175	0	0
63 	16	142	0	0
68 	16	122	0	0
70 	16	109	0	0
62 	16	156	0	0
61 	16	162	0	0
69 	16	175	0	0.001
67 	16	144	0	0
73 	16	131	0	0
75 	16	116	0	0
71 	16	145	0	0
88 	16	56	0	0
77 	16	101	0	0
74 	16	136	0	0
76 	16	123	0	0
86 	16	106	0	0
91 	16	89	0	0
79 	16	137	0	0
80 	16	142	0	0
84 	16	138	0	0
96 	16	89	0	0
87 	16	135	0	0
83 	16	147	0	0
78 	16	164	0	0.001
92 	16	121	0	0.001
81 	16	173	0	0
82 	16	170	0	0.001
93 	16	134	0	0
