# Maze size:               2x2
# strategy               = random
# epsilon                = 0
# discount               = 0.5
# episodes               = 1000
# transitions            = 1000
# min training length    = 1
# max training length    = 1
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 100000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
205 	1	0	0	0.026
249 	1	0	0	0.025
247 	1	0	0	0.016
190 	1	0	0	0.017
210 	1	0	0	0.015
253 	1	0	0	0.015
240 	1	0	0	0.017
214 	1	0	0	0.021
243 	1	0	0	0.019
159 	1	0	0	0.018
238 	1	0	0	0.023
259 	1	0	0	0.022
261 	1	0	0	0.02
263 	1	0	0	0.02
153 	1	0	0	0.023
254 	1	0	0	0.02
255 	1	0	0	0.016
228 	1	0	0	0.016
258 	1	0	0	0.02
257 	1	0	0	0.028
270 	1	0	0	0.022
271 	1	0	0	0.021
260 	1	0	0	0.02
272 	1	0	0	0.026
274 	1	0	0	0.02
250 	1	0	0	0.02
275 	1	0	0	0.023
262 	1	0	0	0.017
278 	1	0	0	0.025
237 	1	0	0	0.025
280 	1	0	0	0.018
265 	1	0	0	0.025
227 	1	0	0	0.026
283 	1	0	0	0.021
234 	1	0	0	0.021
284 	1	0	0	0.021
256 	1	0	0	0.017
286 	1	0	0	0.014
200 	1	0	0	0.016
289 	1	0	0	0.025
277 	1	0	0	0.027
290 	1	0	0	0.021
264 	1	0	0	0.025
293 	1	0	0	0.015
281 	1	0	0	0.015
268 	1	0	0	0.021
236 	1	0	0	0.021
242 	1	0	0	0.022
297 	1	0	0	0.022
252 	1	0	0	0.021
273 	1	0	0	0.02
276 	1	0	0	0.021
288 	1	0	0	0.017
301 	1	0	0	0.02
291 	1	0	0	0.022
279 	1	0	0	0.017
303 	1	0	0	0.016
244 	1	0	0	0.019
295 	1	0	0	0.018
166 	1	0	0	0.018
296 	1	0	0	0.022
266 	1	0	0	0.02
269 	1	0	0	0.021
312 	1	0	0	0.015
251 	1	0	0	0.02
314 	1	0	0	0.017
299 	1	0	0	0.016
292 	1	0	0	0.021
305 	1	0	0	0.018
282 	1	0	0	0.021
318 	1	0	0	0.019
306 	1	0	0	0.024
285 	1	0	0	0.024
309 	1	0	0	0.023
298 	1	0	0	0.022
311 	1	0	0	0.026
202 	1	0	0	0.022
213 	1	0	0	0.024
267 	1	0	0	0.022
226 	1	0	0	0.02
319 	1	0	0	0.013
330 	1	0	0	0.022
307 	1	0	0	0.023
328 	1	0	0	0.024
334 	1	0	0	0.023
331 	1	0	0	0.017
335 	1	0	0	0.022
324 	1	0	0	0.017
337 	1	0	0	0.023
327 	1	0	0	0.023
326 	1	0	0	0.015
