# Maze size:               2x2
# strategy               = linear-q
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 10
# max training length    = 10000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 3
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
12 	33	0	0	0
20 	33	0	0	0
57 	33	0	0	0.021
26 	33	0	0	0
59 	33	0	0	0.023
21 	33	0	0	0
61 	33	0	0	0.02
16 	33	0	0	0
27 	33	0	0	0
18 	33	0	0	0
34 	33	0	0	0
66 	33	0	0	0.023
67 	33	0	0	0.018
13 	33	0	0	0
28 	33	0	0	0
70 	33	0	0	0.018
29 	33	0	0	0
71 	33	0	0	0.018
72 	33	0	0	0.021
25 	33	0	0	0.001
75 	33	0	0	0.025
30 	33	0	0	0
77 	33	0	0	0.018
78 	33	0	0	0.017
45 	33	0	0	0
35 	33	0	0	0.001
80 	33	0	0	0.023
32 	33	0	0	0.199
82 	33	0	0	0.02
83 	33	0	0	0.018
85 	33	0	0	0.02
49 	33	0	0	0
39 	33	0	0	0
40 	33	0	0	0
88 	33	0	0	0.018
89 	33	0	0	0.019
90 	33	0	0	0.016
91 	33	0	0	0.022
51 	33	0	0	0
94 	33	0	0	0.019
46 	33	0	0	0
96 	33	0	0	0.019
54 	33	0	0	0.001
98 	33	0	0	0.018
99 	33	0	0	0.024
100 	33	0	0	0.017
1 	46	0	0	0.018
56 	33	0	0	0.001
3 	46	0	0	0.021
53 	33	0	0	0
5 	46	0	0	0.014
55 	33	0	0	0
58 	33	0	0	0
63 	33	0	0	0
64 	33	0	0	0
73 	33	0	0	0
60 	33	0	0	0.001
62 	33	0	0	0
65 	33	0	0	0.001
79 	33	0	0	0.167
15 	46	0	0	0.02
16 	46	0	0	0.022
68 	33	0	0	0
18 	46	0	0	0.021
69 	33	0	0	0
76 	33	0	0	0.001
21 	46	0	0	0.015
84 	33	0	0	0.001
86 	33	0	0	0
24 	46	0	0	0.017
74 	33	0	0	0
26 	46	0	0	0.016
92 	33	0	0	0
93 	33	0	0	0.25
29 	46	0	0	0.014
28 	46	0	0	0.016
87 	33	0	0	0
95 	33	0	0	0
97 	33	0	0	0.001
81 	33	0	0	0
35 	46	0	0	0.019
2 	46	0	0	0.001
6 	46	0	0	0
38 	46	0	0	0.025
7 	46	0	0	0.001
40 	46	0	0	0.019
9 	46	0	0	0.001
42 	46	0	0	0.021
11 	46	0	0	0
44 	46	0	0	0.019
8 	46	0	0	0.001
46 	46	0	0	0.015
12 	46	0	0	0.001
4 	46	0	0	0
10 	46	0	0	0
22 	46	0	0	0
25 	46	0	0	0.001
17 	46	0	0	0
14 	46	0	0	0
54 	46	0	0	0.015
55 	46	0	0	0.018
56 	46	0	0	0.024
31 	46	0	0	0
58 	46	0	0	0.03
59 	46	0	0	0.017
19 	46	0	0	0.125
33 	46	0	0	0.001
13 	46	0	0	0.001
36 	46	0	0	0
34 	46	0	0	0.001
20 	46	0	0	0
27 	46	0	0	0
23 	46	0	0	0.001
30 	46	0	0	0.001
68 	46	0	0	0.021
32 	46	0	0	0
37 	46	0	0	0
41 	46	0	0	0
73 	46	0	0	0.019
39 	46	0	0	0
47 	46	0	0	0.001
76 	46	0	0	0.019
43 	46	0	0	0
53 	46	0	0	0.25
45 	46	0	0	0.001
49 	46	0	0	0
50 	46	0	0	0
82 	46	0	0	0.015
62 	46	0	0	0
52 	46	0	0	0
85 	46	0	0	0.021
61 	46	0	0	0
87 	46	0	0	0.019
48 	46	0	0	0
63 	46	0	0	0
57 	46	0	0	0
64 	46	0	0	0.001
60 	46	0	0	0
92 	46	0	0	0.021
70 	46	0	0	0
67 	46	0	0	0
65 	46	0	0	0
51 	46	0	0	0
98 	46	0	0	0.02
66 	46	0	0	0
71 	46	0	0	0.001
69 	46	0	0	0
75 	46	0	0	0.001
3 	60	0	0	0.013
72 	46	0	0	0
5 	60	0	0	0.023
77 	46	0	0	0
7 	60	0	0	0.013
8 	60	0	0	0.027
74 	46	0	0	0
80 	46	0	0	0
86 	46	0	0	0.001
12 	60	0	0	0.024
83 	46	0	0	0
79 	46	0	0	0
89 	46	0	0	0
90 	46	0	0	0
91 	46	0	0	0
78 	46	0	0	0.2
18 	60	0	0	0.022
19 	60	0	0	0.021
99 	46	0	0	0
95 	46	0	0	0
81 	46	0	0	0
84 	46	0	0	0.001
24 	60	0	0	0.024
93 	46	0	0	0
96 	46	0	0	0
28 	60	0	0	0.026
94 	46	0	0	0.25
100 	46	0	0	0
88 	46	0	0	0.001
97 	46	0	0	0
33 	60	0	0	0.024
6 	60	0	0	0
4 	60	0	0	0
11 	60	0	0	0
1 	60	0	0	0
9 	60	0	0	0.001
2 	60	0	0	0.111
13 	60	0	0	0
41 	60	0	0	0.019
14 	60	0	0	0.001
15 	60	0	0	0
10 	60	0	0	0
26 	60	0	0	0
25 	60	0	0	0
20 	60	0	0	0.001
17 	60	0	0	0.002
23 	60	0	0	0
16 	60	0	0	0.25
22 	60	0	0	0.001
29 	60	0	0	0.166
21 	60	0	0	0
34 	60	0	0	0.001
55 	60	0	0	0.028
30 	60	0	0	0
27 	60	0	0	0.001
31 	60	0	0	0.001
32 	60	0	0	0
35 	60	0	0	0
61 	60	0	0	0.016
36 	60	0	0	0
42 	60	0	0	0
45 	60	0	0	0
65 	60	0	0	0.016
44 	60	0	0	0
40 	60	0	0	0.143
68 	60	0	0	0.024
38 	60	0	0	0.167
37 	60	0	0	0.001
46 	60	0	0	0
43 	60	0	0	0
39 	60	0	0	0
47 	60	0	0	0
48 	60	0	0	0.001
52 	60	0	0	0.001
53 	60	0	0	0.25
54 	60	0	0	0
51 	60	0	0	0.001
49 	60	0	0	0
60 	60	0	0	0
57 	60	0	0	0.001
50 	60	0	0	0
56 	60	0	0	0
58 	60	0	0	0.001
64 	60	0	0	0
87 	60	0	0	0.015
67 	60	0	0	0
62 	60	0	0	0
90 	60	0	0	0.012
59 	60	0	0	0
69 	60	0	0	0.167
93 	60	0	0	0.023
70 	60	0	0	0
73 	60	0	0	0
66 	60	0	0	0
63 	60	0	0	0.001
77 	60	0	0	0
72 	60	0	0	0.001
79 	60	0	0	0
1 	76	0	0	0.018
74 	60	0	0	0.001
71 	60	0	0	0
4 	76	0	0	0.022
78 	60	0	0	0
83 	60	0	0	0
76 	60	0	0	0.25
75 	60	0	0	0
82 	60	0	0	0
80 	60	0	0	0.143
81 	60	0	0	0
85 	60	0	0	0.001
86 	60	0	0	0
14 	76	0	0	0.027
92 	60	0	0	0
16 	76	0	0	0.025
17 	76	0	0	0.024
84 	60	0	0	0
89 	60	0	0	0.166
95 	60	0	0	0
99 	60	0	0	0
97 	60	0	0	0
94 	60	0	0	0.001
24 	76	0	0	0.017
88 	60	0	0	0.001
26 	76	0	0	0.022
27 	76	0	0	0.025
91 	60	0	0	0
98 	60	0	0	0
96 	60	0	0	0
100 	60	0	0	0
7 	76	0	0	0
2 	76	0	0	0
11 	76	0	0	0
3 	76	0	0	0
5 	76	0	0	0.249
13 	76	0	0	0
12 	76	0	0	0.001
38 	76	0	0	0.02
6 	76	0	0	0.167
15 	76	0	0	0
8 	76	0	0	0.2
10 	76	0	0	0
22 	76	0	0	0.001
21 	76	0	0	0.001
9 	76	0	0	0.001
28 	76	0	0	0
20 	76	0	0	0
30 	76	0	0	0
18 	76	0	0	0.001
25 	76	0	0	0
19 	76	0	0	0.2
23 	76	0	0	0.2
29 	76	0	0	0.167
31 	76	0	0	0.001
37 	76	0	0	0
33 	76	0	0	0.249
32 	76	0	0	0.1
34 	76	0	0	0.001
35 	76	0	0	0
36 	76	0	0	0.167
40 	76	0	0	0.001
41 	76	0	0	0.001
39 	76	0	0	0
65 	76	0	0	0.013
47 	76	0	0	0
67 	76	0	0	0.02
44 	76	0	0	0.001
46 	76	0	0	0.2
49 	76	0	0	0.001
71 	76	0	0	0.013
42 	76	0	0	0.001
43 	76	0	0	0.001
53 	76	0	0	0
48 	76	0	0	0.125
54 	76	0	0	0
52 	76	0	0	0
45 	76	0	0	0
51 	76	0	0	0.002
55 	76	0	0	0.167
50 	76	0	0	0.167
56 	76	0	0	0.001
60 	76	0	0	0
62 	76	0	0	0.2
85 	76	0	0	0.018
59 	76	0	0	0.001
63 	76	0	0	0
58 	76	0	0	0
89 	76	0	0	0.017
57 	76	0	0	0.2
64 	76	0	0	0.001
72 	76	0	0	0.097
76 	76	0	0	0
61 	76	0	0	0
66 	76	0	0	0
69 	76	0	0	0
70 	76	0	0	0
74 	76	0	0	0
73 	76	0	0	0
78 	76	0	0	0.25
79 	76	0	0	0.167
68 	76	0	0	0
75 	76	0	0	0
83 	76	0	0	0.001
80 	76	0	0	0.167
82 	76	0	0	0
77 	76	0	0	0.25
81 	76	0	0	0.071
84 	76	0	0	0.025
94 	76	0	0	0
86 	76	0	0	0.25
95 	76	0	0	0.143
93 	76	0	0	0.001
87 	76	0	0	0
88 	76	0	0	0
91 	76	0	0	0
97 	76	0	0	0.199
92 	76	0	0	0
98 	76	0	0	0
90 	76	0	0	0
96 	76	0	0	0.142
99 	76	0	0	0.001
100 	76	0	0	0
3 	93	0	0	0
2 	93	0	0	0.001
5 	93	0	0	0.167
1 	93	0	0	0
6 	93	0	0	0
7 	93	0	0	0
8 	93	0	0	0
4 	93	0	0	0.001
9 	93	0	0	0
10 	93	0	0	0.125
16 	93	0	0	0.166
17 	93	0	0	0.001
15 	93	0	0	0.091
11 	93	0	0	0.001
21 	93	0	0	0
39 	93	0	0	0.017
13 	93	0	0	0
14 	93	0	0	0
12 	93	0	0	0.25
23 	93	0	0	0.111
20 	93	0	0	0
22 	93	0	0	0
19 	93	0	0	0.001
47 	93	0	0	0.024
18 	93	0	0	0.2
25 	93	0	0	0.143
26 	93	0	0	0
24 	93	0	0	0.167
27 	93	0	0	0
31 	93	0	0	0
28 	93	0	0	0.001
29 	93	0	0	0
35 	93	0	0	0.091
32 	93	0	0	0
30 	93	0	0	0
59 	93	0	0	0.022
42 	93	0	0	0.1
34 	93	0	0	0
33 	93	0	0	0
37 	93	0	0	0.001
41 	93	0	0	0.166
65 	93	0	0	0.027
40 	93	0	0	0.002
43 	93	0	0	0.25
36 	93	0	0	0
38 	93	0	0	0.001
49 	93	0	0	0
45 	93	0	0	0.001
46 	93	0	0	0
44 	93	0	0	0.2
50 	93	0	0	0.001
48 	93	0	0	0
54 	93	0	0	0.143
52 	93	0	0	0.25
56 	93	0	0	0
51 	93	0	0	0.001
53 	93	0	0	0
55 	93	0	0	0
60 	93	0	0	0
58 	93	0	0	0.123
57 	93	0	0	0.249
85 	93	0	0	0.013
62 	93	0	0	0.001
87 	93	0	0	0.019
63 	93	0	0	0.2
61 	93	0	0	0.001
64 	93	0	0	0.214
71 	93	0	0	0
68 	93	0	0	0
76 	93	0	0	0.167
67 	93	0	0	0
70 	93	0	0	0.25
69 	93	0	0	0
72 	93	0	0	0.166
66 	93	0	0	0
75 	93	0	0	0
74 	93	0	0	0
73 	93	0	0	0
2 	112	0	0	0.016
77 	93	0	0	0
84 	93	0	0	0
79 	93	0	0	0
82 	93	0	0	0
83 	93	0	0	0
78 	93	0	0	0.125
81 	93	0	0	0.001
86 	93	0	0	0.167
88 	93	0	0	0
91 	93	0	0	0.001
80 	93	0	0	0.001
96 	93	0	0	0.001
90 	93	0	0	0.001
93 	93	0	0	0
89 	93	0	0	0
99 	93	0	0	0
97 	93	0	0	0
98 	93	0	0	0
100 	93	0	0	0
22 	112	0	0	0.024
95 	93	0	0	0.111
92 	93	0	0	0.001
94 	93	0	0	0
1 	112	0	0	0.001
3 	112	0	0	0.002
7 	112	0	0	0.143
4 	112	0	0	0.001
6 	112	0	0	0.166
31 	112	0	0	0.023
10 	112	0	0	0
33 	112	0	0	0.022
8 	112	0	0	0.111
9 	112	0	0	0.001
11 	112	0	0	0.1
5 	112	0	0	0.001
13 	112	0	0	0.249
12 	112	0	0	0
15 	112	0	0	0
41 	112	0	0	0.023
14 	112	0	0	0
19 	112	0	0	0.001
16 	112	0	0	0.001
25 	112	0	0	0.001
20 	112	0	0	0.001
47 	112	0	0	0.02
17 	112	0	0	0
21 	112	0	0	0
18 	112	0	0	0
26 	112	0	0	0
23 	112	0	0	0
24 	112	0	0	0
30 	112	0	0	0.2
27 	112	0	0	0.166
28 	112	0	0	0
29 	112	0	0	0.001
32 	112	0	0	0.001
34 	112	0	0	0
35 	112	0	0	0.001
36 	112	0	0	0.001
37 	112	0	0	0.126
38 	112	0	0	0
42 	112	0	0	0.001
39 	112	0	0	0.001
49 	112	0	0	0
67 	112	0	0	0.015
40 	112	0	0	0.167
45 	112	0	0	0
70 	112	0	0	0.017
44 	112	0	0	0
43 	112	0	0	0.001
48 	112	0	0	0.167
46 	112	0	0	0.001
54 	112	0	0	0
51 	112	0	0	0
55 	112	0	0	0
52 	112	0	0	0.001
50 	112	0	0	0
80 	112	0	0	0.028
53 	112	0	0	0
58 	112	0	0	0
57 	112	0	0	0.001
56 	112	0	0	0.001
65 	112	0	0	0.1
86 	112	0	0	0.019
59 	112	0	0	0.001
60 	112	0	0	0.001
89 	112	0	0	0.023
90 	112	0	0	0.018
61 	112	0	0	0
63 	112	0	0	0
93 	112	0	0	0.022
62 	112	0	0	0.002
64 	112	0	0	0.167
69 	112	0	0	0.142
66 	112	0	0	0.001
74 	112	0	0	0
75 	112	0	0	0
71 	112	0	0	0.001
72 	112	0	0	0.111
79 	112	0	0	0.25
76 	112	0	0	0.001
4 	133	0	0	0.019
78 	112	0	0	0.001
73 	112	0	0	0.249
68 	112	0	0	0.002
81 	112	0	0	0
83 	112	0	0	0.142
82 	112	0	0	0
77 	112	0	0	0.001
84 	112	0	0	0.001
87 	112	0	0	0.125
88 	112	0	0	0.249
15 	133	0	0	0.025
85 	112	0	0	0.001
92 	112	0	0	0
94 	112	0	0	0
95 	112	0	0	0
91 	112	0	0	0.134
98 	112	0	0	0.064
99 	112	0	0	0.2
96 	112	0	0	0.166
97 	112	0	0	0.25
100 	112	0	0	0
9 	133	0	0	0
2 	133	0	0	0.001
3 	133	0	0	0.001
6 	133	0	0	0.2
1 	133	0	0	0.091
5 	133	0	0	0
10 	133	0	0	0
13 	133	0	0	0
12 	133	0	0	0.111
7 	133	0	0	0
14 	133	0	0	0.166
11 	133	0	0	0
8 	133	0	0	0.125
17 	133	0	0	0
20 	133	0	0	0.125
16 	133	0	0	0.001
42 	133	0	0	0.021
24 	133	0	0	0.001
23 	133	0	0	0
22 	133	0	0	0
19 	133	0	0	0.001
21 	133	0	0	0
27 	133	0	0	0.166
18 	133	0	0	0
26 	133	0	0	0.111
25 	133	0	0	0.166
28 	133	0	0	0.2
30 	133	0	0	0.001
33 	133	0	0	0
31 	133	0	0	0.001
29 	133	0	0	0.001
32 	133	0	0	0
39 	133	0	0	0.167
35 	133	0	0	0
36 	133	0	0	0.2
37 	133	0	0	0.143
62 	133	0	0	0.02
38 	133	0	0	0
43 	133	0	0	0
34 	133	0	0	0.167
44 	133	0	0	0.167
40 	133	0	0	0.001
47 	133	0	0	0.167
45 	133	0	0	0
50 	133	0	0	0.25
41 	133	0	0	0
72 	133	0	0	0.024
53 	133	0	0	0.092
48 	133	0	0	0.001
49 	133	0	0	0
76 	133	0	0	0.02
46 	133	0	0	0
78 	133	0	0	0.026
54 	133	0	0	0.25
51 	133	0	0	0.001
52 	133	0	0	0.199
57 	133	0	0	0.142
61 	133	0	0	0.25
56 	133	0	0	0
64 	133	0	0	0.001
58 	133	0	0	0.166
55 	133	0	0	0.002
59 	133	0	0	0.111
60 	133	0	0	0.25
63 	133	0	0	0.001
67 	133	0	0	0.25
66 	133	0	0	0
65 	133	0	0	0.25
73 	133	0	0	0
69 	133	0	0	0.125
68 	133	0	0	0.2
74 	133	0	0	0
70 	133	0	0	0.124
71 	133	0	0	0
75 	133	0	0	0
77 	133	0	0	0
80 	133	0	0	0.166
85 	133	0	0	0
4 	156	0	0	0.014
81 	133	0	0	0
79 	133	0	0	0.249
82 	133	0	0	0.167
89 	133	0	0	0
91 	133	0	0	0.125
84 	133	0	0	0.125
87 	133	0	0	0.125
83 	133	0	0	0
88 	133	0	0	0
86 	133	0	0	0.001
92 	133	0	0	0
94 	133	0	0	0.2
90 	133	0	0	0.2
96 	133	0	0	0
95 	133	0	0	0
97 	133	0	0	0.001
93 	133	0	0	0
99 	133	0	0	0
98 	133	0	0	0.001
100 	133	0	0	0.111
1 	156	0	0	0.2
5 	156	0	0	0.125
8 	156	0	0	0
14 	156	0	0	0.2
3 	156	0	0	0.2
2 	156	0	0	0.167
9 	156	0	0	0.2
10 	156	0	0	0.125
11 	156	0	0	0.001
6 	156	0	0	0.001
13 	156	0	0	0.075
7 	156	0	0	0.001
