# Maze size:               2x2
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 1
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 0
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 2
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 1
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# Reward 3
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 2
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# 
# 
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 100
# max training length    = 100000
# training length factor = 1.5
# L1 coefficient         = 0.0001
# max tree size          = 100000
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
28 	225	0	7	0.005
34 	225	0	7	0.505
36 	225	0	7	0.005
26 	225	0	9	0.25
38 	225	0	7	0.5
35 	225	0	9	0.499
39 	225	0	7	0.006
30 	225	0	7	0.5
37 	225	0	7	0.5
40 	225	0	7	0
41 	225	0	9	0.5
32 	225	0	7	0.129
47 	225	0	7	0.5
31 	225	0	7	0.005
48 	225	0	9	0.003
46 	225	0	7	0.5
42 	225	0	7	0
44 	225	0	7	0.13
43 	225	0	7	0.006
33 	225	0	7	0
51 	225	0	7	0
50 	225	0	7	0.5
53 	225	0	5	0
49 	225	0	9	0.005
45 	225	0	7	0
54 	225	0	7	0
55 	225	0	7	0
58 	225	0	7	0.007
52 	225	0	7	0.005
56 	225	0	9	0.006
59 	225	0	7	0.5
57 	225	0	9	0.5
62 	225	0	7	0
69 	225	0	5	0.001
68 	225	0	7	0.005
64 	225	0	7	1.001
66 	225	0	5	0.001
76 	225	0	5	0
72 	225	0	7	0
63 	225	0	7	0
67 	225	0	7	0.5
86 	225	0	7	0.005
78 	225	0	7	0.005
87 	225	0	7	0
70 	225	0	7	0.006
80 	225	0	7	0.005
90 	225	0	7	0.5
61 	225	0	7	0
83 	225	0	5	0.001
60 	225	0	9	0.149
79 	225	0	7	0.001
81 	225	0	7	0
65 	225	0	9	0
85 	225	0	7	0.001
88 	225	0	7	0
71 	225	0	7	0.5
73 	225	0	7	0
75 	225	0	7	0.25
84 	225	0	5	0
77 	225	0	7	0.005
82 	225	0	7	0.5
92 	225	0	5	0.002
74 	225	0	5	0.5
91 	225	0	7	0.5
89 	225	0	7	0.334
98 	225	0	5	0
94 	225	0	7	0.124
96 	225	0	7	0.125
95 	225	0	7	0.25
93 	225	0	7	0.006
99 	225	0	7	0
97 	225	0	9	0.011
5 	337	0	9	0.334
100 	225	0	9	0.5
10 	337	0	9	0.005
15 	337	0	9	0.006
4 	337	0	11	0.505
11 	337	0	9	0.5
3 	337	0	11	0.499
21 	337	0	7	0.006
2 	337	0	9	0.339
12 	337	0	9	1.33
24 	337	0	9	0.404
13 	337	0	11	0
19 	337	0	11	0.5
9 	337	0	11	0.005
27 	337	0	11	0.001
26 	337	0	13	1.333
7 	337	0	13	0.005
8 	337	0	13	0.206
16 	337	0	11	0
14 	337	0	11	0.5
28 	337	0	9	0.005
29 	337	0	11	0.13
6 	337	0	11	0
18 	337	0	11	0.005
20 	337	0	11	0.29
22 	337	0	11	1.177
23 	337	0	9	0
1 	337	0	11	0.011
25 	337	0	7	0.005
17 	337	0	11	0.006
30 	337	0	9	0.5
49 	337	0	7	0
