# scale=100
# prob4=0.45*(1/5)^4
# prob3=0.60*(1/5)^3

# n_random_transitions	prob_3_steps	prob_4_steps
10	.0469763602028086075155106330245360254976000000000000000000000000000000000000000000000000000000000000	.0071767167333736330804052903664817497678636751257600000000000000000000000000000000000000000000000000
20	.0917459419877131946743952686051146286411712174616726712418541514911811226723942400000000000000000000	.0143019282036761810499611471676950198377550479755038893663654179570199145622727369138813034481844224
30	.1344124117725610048404044939504077805283015214372420280848132559695493966439823051047172966469916807	.0213760040495909829762211690277270989898563953705146672180464546994698854405139857794628038570310746
40	.1750745661042135544061760172280814132475424580475168462971686423026803022505221502844669814580283694	.0283993112570092539050552901491139311666675145425849182809249488996643174309256128136659261829210853
50	.2138265604273601995100447712454305064992599634992937514250783291019747853335953825446442256430815654	.0353722141780684224872779796151001345217891303558051486230926835156155163509633860981596967541083379
60	.2507581271066055134735956052065816166975096846910347483866811652455249984857463202827593712355553943	.0422950745500538358490558012348635990263279432155994320697800463579108044555453088791879013712685197
70	.2859547832066725554284976750596424592939952999072364646491644519715021631954828071164684427256810177	.0491682515141648122806822295552535197591822851783287875669897943433756167782162893604803984869161340
80	.3194980285118484671835342616625640648463384809535444024486942152252030316731028966120805642859384411	.0559921016341460152810015643911148386130963235780119756091864028596996761542675435622464857497322812
90	.3514655342431972665727441015860932222742322975692952739755702421565159709307448721442322399675664483	.0627669789147851155079624850651811434635773973792194743207228279794441037388168780181285839236956120
100	.3819313229105248761531596846028011000140721390458358155212413835567326715284566845093173509171088443	.0694932348202777002491227781982266238158533090776320531658093915387429583498382886314720814515888165
200	.6179911104008661281511387134769736802794996460798010741396177223028230764890831790176081614880878648	.1341571599547691434886017558303446062258113675783821192069099653667748032968569997406944048779674848
300	.7638922709690439747730103082523878290153042572748926140385745267698025274420079529508540104574480360	.1943273797554885155936398144229260392789814829546787193193436392975350943358921633767305949480060828
400	.8540692082672367491465348516438483465778984756540946121308676657769967902926962185048555423188051297	.2503161763424087734830310734135095671235671821060468713475805338415563256191357848983473953841299751
500	.9098047486071113043274232221927747965091577274087137974249060859019629419668787977780332968900391819	.3024141303408094192475396357468801905173840529279245753693713690054541449307819226239710515953202299
600	.9442531402918446453686192332522684760756005165881242226624242521458972991466960959910948100994294616	.3508916289883431834166914232382635000711797431576208067084928178221760440394261524621844304395297022
700	.9655446121682878566760570340965748905535406274689224348057185138030496256273339730141540949484367912	.3960002694388641890851065740918012120495842346781724143560338766530272805488126057479519820102733156
800	.9787042040242488768375028298175705865295352897722991173313507474222253640722299912511598632797160658	.4379741645461336612345733002967754875134565683162403586762677640961105453182796192346816103328401167
900	.9868377355537001352433439426660099402447730985895458512745767947260809810350319978415395730704445266	.4770311579043919507058117430664710088786079626059271873307454689181568714106478812917405380524656945
1000	.9918648166261736098031371202305135358229039444576345302276634885558045027290200213149090205243656550	.5133739544518307703438283040760957950376626005203285623937471105661250343771529823524907542449889927
2000	.9999338187914742186712920588867192802185754508136578240767817877733491139413074678202564199266359578	.7631950917941511262629514112013750448375974387314673259860091269340347634170586355080147701739447255
3000	.9999994616037327413263909190661529344212587175630165314498375800154117066117219178464837647944588749	.8847645639533905525956350466326012481327531827899749353610639047211945980825864478350722191228854037
4000	.9999999956200476380670487680807502425462216374035611652320680287617471534583018446018556060470586364	.9439234354496194887432154266572122016884109086499247795255379426133755397096662526248086532931190097
5000	.9999999999643682843670514273026428457026971499113887197131356491002079805198259686377834037870515712	.9727116831449216813706862726823198570906943695089293025636015252236699975400301181369066816803825594
6000	.9999999999997101294594019268999319037956969312213699893579123387470127955573866293852721317816693700	.9867207942791477840111054320038360103966624949805171658883716448962249543246295843501320979765546226
7000	.9999999999999976418499975644880673778675793494801111645475268596753663046471817994056983222806165844	.9935379926320410601333930850540953252531671230200240000006201841023092693852174295182365853114974296
8000	.9999999999999999808160173071979617762444489258436464772790992563823606684461818605551934324777515993	.9968554189082270077693936917061813617265427944489790723943327504615495831066586726370963441391693698
