  0 0.000400093 -0.000207323 0.000513945 0.000688994
  0.01 0.00080282 -0.000415924 0.00103118 0.00138266
  0.02 0.00121082 -0.000627083 0.00155501 0.00208568
  0.03 0.00162676 -0.000842087 0.00208876 0.00280277
  0.04 0.0020533 -0.00106223 0.00263576 0.00353869
  0.05 0.00249316 -0.00128882 0.00319941 0.00429826
  0.06 0.00294909 -0.00152318 0.00378311 0.00508636
  0.07 0.00342388 -0.00176664 0.00439035 0.00590797
  0.08 0.00392036 -0.00202057 0.00502465 0.00676815
  0.09 0.00444145 -0.00228634 0.00568962 0.00767211
  0.1 0.0049901 -0.00256535 0.00638893 0.00862515
  0.11 0.00556935 -0.00285904 0.00712634 0.00963272
  0.12 0.00618231 -0.00316886 0.00790568 0.0107004
  0.13 0.00683219 -0.00349631 0.00873089 0.011834
  0.14 0.00752226 -0.00384289 0.00960601 0.0130395
  0.15 0.00825591 -0.00421017 0.0105352 0.0143229
  0.16 0.0090366 -0.00459973 0.0115226 0.0156905
  0.17 0.00986792 -0.00501319 0.0125728 0.017149
  0.18 0.0107535 -0.00545221 0.01369 0.0187049
  0.19 0.0116973 -0.00591849 0.014879 0.0203653
  0.2 0.012703 -0.00641376 0.0161445 0.0221374
  0.21 0.0137747 -0.00693978 0.0174913 0.0240284
  0.22 0.0149165 -0.00749835 0.0189243 0.026046
  0.23 0.0161328 -0.00809131 0.0204487 0.0281982
  0.24 0.0174277 -0.00872053 0.0220697 0.0304929
  0.25 0.0188059 -0.0093879 0.0237925 0.0329386
  0.26 0.0202718 -0.0100954 0.0256228 0.0355437
  0.27 0.0218303 -0.0108449 0.0275659 0.0383172
  0.28 0.0234859 -0.0116384 0.0296276 0.041268
  0.29 0.0252438 -0.0124779 0.0318137 0.0444054
  0.3 0.0271088 -0.0133655 0.03413 0.0477389
  0.31 0.0290861 -0.0143032 0.0365825 0.0512782
  0.32 0.0311809 -0.0152929 0.0391772 0.0550332
  0.33 0.0333983 -0.0163369 0.0419201 0.059014
  0.34 0.0357438 -0.017437 0.0448175 0.0632309
  0.35 0.0382227 -0.0185954 0.0478756 0.0676943
  0.36 0.0408404 -0.019814 0.0511005 0.0724147
  0.37 0.0436025 -0.021095 0.0544986 0.0774029
  0.38 0.0465144 -0.0224402 0.058076 0.0826698
  0.39 0.0495818 -0.0238516 0.061839 0.0882261
  0.4 0.05281 -0.0253311 0.0657938 0.094083
  0.41 0.0562046 -0.0268806 0.0699465 0.100251
  0.42 0.0597712 -0.028502 0.0743033 0.106742
  0.43 0.0635151 -0.0301969 0.07887 0.113567
  0.44 0.0674417 -0.031967 0.0836526 0.120736
  0.45 0.0715564 -0.033814 0.0886567 0.12826
  0.46 0.0758644 -0.0357393 0.0938881 0.136151
  0.47 0.0803708 -0.0377444 0.099352 0.144418
  0.48 0.0850804 -0.0398306 0.105054 0.153073
  0.49 0.0899983 -0.0419992 0.110998 0.162126
  0.5 0.0951289 -0.0442511 0.11719 0.171586
  0.51 0.100477 -0.0465873 0.123634 0.181463
  0.52 0.106046 -0.0490087 0.130334 0.191767
  0.53 0.111841 -0.051516 0.137294 0.202507
  0.54 0.117865 -0.0541096 0.144518 0.213691
  0.55 0.124122 -0.0567899 0.152008 0.225328
  0.56 0.130614 -0.0595571 0.159768 0.237424
  0.57 0.137345 -0.0624113 0.167799 0.249989
  0.58 0.144318 -0.0653522 0.176104 0.263027
  0.59 0.151534 -0.0683794 0.184683 0.276545
  0.6 0.158995 -0.0714926 0.193539 0.290548
  0.61 0.166703 -0.0746908 0.202672 0.305041
  0.62 0.174658 -0.0779732 0.21208 0.320028
  0.63 0.182862 -0.0813386 0.221765 0.335513
  0.64 0.191313 -0.0847856 0.231724 0.351496
  0.65 0.200013 -0.0883127 0.241957 0.367981
  0.66 0.20896 -0.0919181 0.25246 0.384967
  0.67 0.218153 -0.0955997 0.263232 0.402455
  0.68 0.22759 -0.0993555 0.274268 0.420443
  0.69 0.237268 -0.103183 0.285565 0.43893
  0.7 0.247186 -0.107079 0.297118 0.457912
  0.71 0.25734 -0.111042 0.308922 0.477386
  0.72 0.267725 -0.115068 0.320971 0.497346
  0.73 0.278338 -0.119153 0.333258 0.517788
  0.74 0.289174 -0.123295 0.345778 0.538703
  0.75 0.300228 -0.12749 0.358522 0.560085
  0.76 0.311493 -0.131734 0.371482 0.581923
  0.77 0.322963 -0.136023 0.38465 0.604209
  0.78 0.334632 -0.140354 0.398015 0.626931
  0.79 0.346492 -0.14472 0.41157 0.650077
  0.8 0.358536 -0.14912 0.425302 0.673635
  0.81 0.370754 -0.153546 0.439202 0.697591
  0.82 0.383138 -0.157996 0.453259 0.721929
  0.83 0.39568 -0.162465 0.46746 0.746634
  0.84 0.408369 -0.166946 0.481793 0.77169
  0.85 0.421196 -0.171437 0.496247 0.797079
  0.86 0.43415 -0.175931 0.510808 0.822783
  0.87 0.44722 -0.180423 0.525463 0.848783
  0.88 0.460397 -0.184909 0.540199 0.875058
  0.89 0.473667 -0.189383 0.555002 0.901589
  0.9 0.487021 -0.19384 0.569858 0.928355
  0.91 0.500445 -0.198275 0.584754 0.955333
  0.92 0.513929 -0.202684 0.599674 0.982501
  0.93 0.52746 -0.20706 0.614605 1.00984
  0.94 0.541025 -0.2114 0.629533 1.03732
  0.95 0.554613 -0.215698 0.644442 1.06492
  0.96 0.568211 -0.21995 0.65932 1.09261
  0.97 0.581806 -0.22415 0.67415 1.12039
  0.98 0.582511 -0.224993 0.674475 1.12144
  0.99 0.582577 -0.225148 0.674599 1.12141
