  0 0
  0.01 0.0099995
  0.02 0.0199996
  0.03 0.0299997
  0.04 0.0399998
  0.05 0.0499999
  0.06 0.0599999
  0.07 0.07
  0.08 0.08
  0.09 0.09
  0.1 0.1
  0.11 0.11
  0.12 0.12
  0.13 0.13
  0.14 0.14
  0.15 0.15
  0.16 0.16
  0.17 0.17
  0.18 0.18
  0.19 0.19
  0.2 0.2
  0.21 0.21
  0.22 0.22
  0.23 0.23
  0.24 0.24
  0.25 0.25
  0.26 0.26
  0.27 0.269999
  0.28 0.279999
  0.29 0.289998
  0.3 0.299997
  0.31 0.309996
  0.32 0.319996
  0.33 0.329996
  0.34 0.339997
  0.35 0.349999
  0.36 0.360002
  0.37 0.370006
  0.38 0.380011
  0.39 0.390016
  0.4 0.40002
  0.41 0.410022
  0.42 0.420023
  0.43 0.430019
  0.44 0.440011
  0.45 0.449998
  0.46 0.45998
  0.47 0.469957
  0.48 0.479932
  0.49 0.489907
  0.5 0.499886
  0.51 0.509873
  0.52 0.519873
  0.53 0.529889
  0.54 0.539926
  0.55 0.549987
  0.56 0.560068
  0.57 0.57017
  0.58 0.580287
  0.59 0.59041
  0.6 0.600526
  0.61 0.610623
  0.62 0.620684
  0.63 0.630691
  0.64 0.640629
  0.65 0.650485
  0.66 0.66025
  0.67 0.66992
  0.68 0.679491
  0.69 0.688985
  0.7 0.698425
  0.71 0.707844
  0.72 0.717285
  0.73 0.726799
  0.74 0.736445
  0.75 0.746284
  0.76 0.756379
  0.77 0.766789
  0.78 0.777566
  0.79 0.788749
  0.8 0.800357
  0.81 0.812376
  0.82 0.824803
  0.83 0.837591
  0.84 0.850656
  0.85 0.863873
  0.86 0.877134
  0.87 0.890273
  0.88 0.903084
  0.89 0.915381
  0.9 0.926935
  0.91 0.937515
  0.92 0.946892
  0.93 0.954855
  0.94 0.961228
  0.95 0.96589
  0.96 0.96882
  0.97 0.973038
  0.98 0.978191
  0.99 0.983347
  1 1  
