  0 0.000400093 -0.000207323 0.000513945 0.000688994
  0.01 0.0008028 -0.000415913 0.00103116 0.00138262
  0.02 0.00121081 -0.000627075 0.00155499 0.00208565
  0.03 0.00162674 -0.000842081 0.00208875 0.00280275
  0.04 0.00205329 -0.00106223 0.00263575 0.00353868
  0.05 0.00249316 -0.00128882 0.0031994 0.00429825
  0.06 0.00294909 -0.00152318 0.00378311 0.00508635
  0.07 0.00342388 -0.00176664 0.00439035 0.00590796
  0.08 0.00392036 -0.00202057 0.00502465 0.00676816
  0.09 0.00444145 -0.00228634 0.00568963 0.00767211
  0.1 0.0049901 -0.00256535 0.00638894 0.00862515
  0.11 0.00556935 -0.00285904 0.00712634 0.00963272
  0.12 0.00618231 -0.00316886 0.00790568 0.0107004
  0.13 0.00683219 -0.0034963 0.00873089 0.011834
  0.14 0.00752226 -0.00384289 0.00960601 0.0130395
  0.15 0.0082559 -0.00421016 0.0105352 0.0143229
  0.16 0.00903659 -0.00459972 0.0115226 0.0156905
  0.17 0.00986791 -0.00501319 0.0125728 0.017149
  0.18 0.0107535 -0.00545222 0.01369 0.0187049
  0.19 0.0116973 -0.0059185 0.0148791 0.0203654
  0.2 0.012703 -0.00641377 0.0161445 0.0221374
  0.21 0.0137747 -0.0069398 0.0174913 0.0240285
  0.22 0.0149166 -0.00749838 0.0189244 0.0260461
  0.23 0.0161328 -0.00809134 0.0204488 0.0281983
  0.24 0.0174278 -0.00872055 0.0220697 0.030493
  0.25 0.0188059 -0.00938791 0.0237926 0.0329386
  0.26 0.0202718 -0.0100953 0.0256227 0.0355437
  0.27 0.0218301 -0.0108448 0.0275658 0.038317
  0.28 0.0234857 -0.0116383 0.0296273 0.0412676
  0.29 0.0252434 -0.0124777 0.0318132 0.0444047
  0.3 0.0271083 -0.0133652 0.0341293 0.0477379
  0.31 0.0290854 -0.0143028 0.0365816 0.0512769
  0.32 0.03118 -0.0152925 0.0391761 0.0550317
  0.33 0.0333975 -0.0163365 0.0419191 0.0590125
  0.34 0.0357431 -0.0174367 0.0448167 0.0632297
  0.35 0.0382225 -0.0185953 0.0478754 0.0676939
  0.36 0.0408411 -0.0198143 0.0511013 0.0724159
  0.37 0.0436043 -0.0210958 0.0545009 0.0774062
  0.38 0.0465178 -0.0224417 0.0580801 0.0826758
  0.39 0.0495868 -0.0238539 0.0618452 0.0882353
  0.4 0.0528167 -0.0253342 0.0658021 0.0940952
  0.41 0.0562126 -0.0268843 0.0699563 0.100266
  0.42 0.0597796 -0.0285058 0.0743136 0.106758
  0.43 0.0635225 -0.0302002 0.078879 0.11358
  0.44 0.0674462 -0.031969 0.083658 0.120744
  0.45 0.0715556 -0.0338136 0.0886557 0.128259
  0.46 0.0758556 -0.0357354 0.0938774 0.136135
  0.47 0.0803514 -0.0377358 0.0993286 0.144383
  0.48 0.0850485 -0.0398165 0.105015 0.153015
  0.49 0.0899527 -0.0419791 0.110943 0.162042
  0.5 0.0950706 -0.0442255 0.11712 0.171478
  0.51 0.100409 -0.0465577 0.123552 0.181338
  0.52 0.105975 -0.0489779 0.130249 0.191636
  0.53 0.111777 -0.0514882 0.137217 0.202388
  0.54 0.11782 -0.0540905 0.144465 0.213609
  0.55 0.124113 -0.0567864 0.151998 0.225312
  0.56 0.13066 -0.0595767 0.159823 0.237511
  0.57 0.137464 -0.0624614 0.16794 0.250211
  0.58 0.144525 -0.065439 0.17635 0.263415
  0.59 0.15184 -0.068507 0.185046 0.277118
  0.6 0.159401 -0.071661 0.19402 0.291311
  0.61 0.167199 -0.0748954 0.203258 0.305975
  0.62 0.175219 -0.0782032 0.212742 0.321087
  0.63 0.183445 -0.0815767 0.222453 0.336617
  0.64 0.191861 -0.0850075 0.232368 0.352533
  0.65 0.200447 -0.0884876 0.242467 0.368805
  0.66 0.20919 -0.0920102 0.25273 0.385405
  0.67 0.218079 -0.0955701 0.263145 0.402314
  0.68 0.227109 -0.0991644 0.273707 0.419528
  0.69 0.236286 -0.102795 0.284419 0.437054
  0.7 0.245624 -0.106466 0.295298 0.454923
  0.71 0.25515 -0.110187 0.306377 0.473187
  0.72 0.264905 -0.113974 0.317699 0.491926
  0.73 0.274941 -0.117845 0.329325 0.511244
  0.74 0.285322 -0.121823 0.341327 0.531267
  0.75 0.29612 -0.125931 0.353786 0.552139
  0.76 0.307414 -0.130197 0.366789 0.574015
  0.77 0.31928 -0.134646 0.380421 0.597053
  0.78 0.331792 -0.1393 0.394762 0.6214
  0.79 0.345009 -0.144174 0.409874 0.647182
  0.8 0.358972 -0.149278 0.425799 0.674491
  0.81 0.373696 -0.154604 0.442542 0.703373
  0.82 0.389162 -0.160143 0.460079 0.733795
  0.83 0.405312 -0.165867 0.47834 0.765654
  0.84 0.422045 -0.171731 0.497201 0.798764
  0.85 0.439212 -0.17767 0.516484 0.832853
  0.86 0.456621 -0.183623 0.535976 0.867529
  0.87 0.474031 -0.189504 0.555407 0.902319
  0.88 0.491161 -0.195208 0.574452 0.936676
  0.89 0.5077 -0.200647 0.592782 0.969951
  0.9 0.523313 -0.205719 0.610029 1.00146
  0.91 0.537654 -0.210322 0.625824 1.03049
  0.92 0.55039 -0.214362 0.639809 1.05634
  0.93 0.561215 -0.217762 0.651666 1.07836
  0.94 0.56988 -0.220465 0.66114 1.09602
  0.95 0.576219 -0.222424 0.668056 1.10897
  0.96 0.580202 -0.223654 0.6724 1.11711
  0.97 0.58202 -0.224406 0.674249 1.12071
  0.98 0.582384 -0.224841 0.674416 1.12125
  0.99 0.582533 -0.225045 0.674516 1.12143
