  -0.759782 1.48606 -0.431077 -0.00396071 -0.0486036 0.0181794
  0.724316 1.26066 -0.390553 -0.040657 -0.177546 -0.00109524
  0.09875 2.90591 -1.08192 0.138482 -0.126806 0.0193451
  -0.838296 2.38347 -0.556083 0.0874148 -0.046645 0.0308158
  -1.42159 0.538495 0.199749 -0.0912247 0.0105401 0.0144914
  -1.79854 1.6344 0.0680953 0.0097752 0.0373831 0.0404286
  -0.58026 2.04525 -0.605055 0.0531896 -0.0703583 0.00856651
  -0.20629 1.26049 -0.804768 -0.0252526 -0.0901852 0.00567819
  -0.311917 0.985426 -0.758884 -0.0582039 -0.0814306 0.00928729
  -0.231751 0.968816 -0.70185 -0.0531919 -0.0958432 0.0134338
  -1.20864 1.63287 -0.360569 0.00938917 -0.00424072 0.0158348
  -1.89522 1.62729 -0.123951 0.00692139 0.0587238 0.022139
  -1.24612 1.66954 -0.217216 0.0146213 -0.00789813 0.0127972
  -0.815481 1.54222 -0.58177 0.00491612 -0.0424764 0.0228352
  -0.679146 1.07102 -0.675279 -0.0414212 -0.0495006 0.0337714
  -0.707068 0.963972 -0.766428 -0.0539418 -0.0399588 0.0130452
  -0.181059 1.72236 -0.60733 0.0203866 -0.122961 0.0151453
  -1.22361 1.58809 -0.226551 0.00654892 -0.010872 0.0344065
  -1.53722 1.90062 -0.226914 0.0368763 0.0234445 0.0147721
  -1.07757 1.40818 -0.758636 -0.0127544 -0.0227857 0.0139222
  -0.434824 1.26823 -0.852362 -0.014823 -0.0832514 0.0129731
  -0.18851 1.48933 -0.731461 0.00978254 -0.112693 0.0117403
  -0.462407 1.38121 -0.688826 -0.000932166 -0.0872015 0.0253854
  -0.885364 1.64974 -0.336701 0.0174073 -0.0518982 0.022712
  -1.39466 1.67854 -0.311987 0.0133343 0.0114896 0.0228057
  -0.457787 1.33233 -0.481401 -0.0136649 -0.0919241 0.0242863
  -0.529002 1.50319 -0.728142 0.00786455 -0.0854509 0.0192758
  -1.26775 1.18658 -0.687683 -0.0196058 0.00655466 0.0185657
  -0.819363 1.27941 -0.510725 -0.0105124 -0.049765 0.0172098
  -0.638255 1.45675 -0.730329 -0.000281009 -0.0757857 0.0164495
